Domain,assoc_id,PLOTS,In Figure 4D,FEATURE,Drug id,Drug name,Drug Target,N_FEATURE_pos,N_FEATURE_neg,log max.Conc.tested,log max.Conc.tested2,FEATUREpos_logIC50_MEAN,FEATUREneg_logIC50_MEAN,FEATURE_deltaMEAN_IC50,FEATUREpos_IC50_sd,FEATUREneg_IC50_sd,FEATURE_IC50_effect_size,FEATUREpos_Glass_delta,FEATUREneg_Glass_delta,FEATURE_ANOVA_pval,Tissue_ANOVA_pval,MEDIA_ANOVA_pval,MSI_ANOVA_pval,FEATURE_FDR
LAML,a11,WebPage,NO,TP53_mut,53,CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9",13,13,-1.3626,NA,-1.5947,-2.8274,1.2327,0.9252,0.4562,1.6899,1.33,2.70,3.0085E-04,NA,NA,5.4936E-01,3.2329
PANCAN,a117,WebPage,NO,gain:cnaPANCAN140 (FANCG),45,Z-LLNle-CHO,g-secretase,5,395,0.9400,NA,2.8363,0.7547,2.0817,0.4491,1.2427,1.6825,4.63,1.68,1.9197E-05,1.5464E-11,2.8889E-02,7.8867E-02,2.7008
PANCAN,a430,WebPage,NO,"gain:cnaPANCAN301 (CDK12,ERBB2,MED24)",119,Lapatinib,"ERBB2, EGFR",9,388,0.6931,NA,0.7127,2.4974,-1.7847,2.4033,1.0194,1.6752,0.74,1.75,5.2426E-04,8.3628E-11,8.1437E-01,8.4729E-01,20.1299
BRCA,a13,WebPage,YES,"gain:cnaPANCAN393 (FOXA1,NKX2-1,PSMA6)",204,Tipifarnib,Farnesyl-transferase (FNTA),7,41,2.7726,NA,3.4811,1.3022,2.1789,1.8728,1.2003,1.6661,1.16,1.82,1.8057E-04,NA,NA,NA,16.0829
PANCAN,a116,WebPage,NO,CHEK2_mut,167,OSU-03012,PDPK1 (PDK1),5,866,2.7726,NA,3.9998,1.9208,2.0790,1.9821,1.2494,1.6583,1.05,1.66,1.9149E-05,1.9525E-11,2.8731E-06,6.5571E-03,2.7008
ESCA,a3,WebPage,YES,"gain:cnaPANCAN59 (CCND1,CTTN)",1037,BX-795,"TBK1, PDPK1, IKK, AURKB, AURKC",14,17,1.6094,NA,1.3322,2.5296,-1.1974,0.4763,0.8733,1.6566,2.51,1.37,7.9101E-05,NA,NA,NA,8.3627
LAML,a17,WebPage,YES,NRAS_mut,299,OSI-027,MTORC1/2,7,19,2.9957,NA,0.2957,-1.8762,2.1719,1.7912,1.1244,1.6416,1.21,1.93,4.6104E-04,NA,NA,1.0591E-04,3.3084
PANCAN,a101,WebPage,NO,CNOT1_mut,326,GSK690693,AKT,7,912,2.3263,NA,0.7086,3.5812,-2.8726,2.1075,1.7519,1.6373,1.36,1.64,1.3208E-05,4.6607E-50,2.1880E-08,8.0310E-02,2.1461
PANCAN,a229,WebPage,NO,C15orf55_mut,231,FMK,RSK,3,789,2.9957,2.3263,3.6772,5.0208,-1.3436,1.8738,0.8222,1.6254,0.72,1.63,1.2309E-04,1.6970E-40,1.0970E-04,4.7665E-01,8.8187
PANCAN,a127,WebPage,NO,GNAS_mut,193,GW-2580,CSF1R (cFMS),4,917,2.9957,NA,4.1073,5.2904,-1.1831,1.0939,0.7280,1.6218,1.08,1.63,2.2308E-05,1.9314E-25,6.4426E-03,3.4375E-01,2.9002
SKCM,a7,WebPage,NO,BRAF_mut,1061,SB590885,BRAF,31,8,1.6094,NA,0.7703,3.5815,-2.8111,1.8568,1.1164,1.6146,1.51,2.52,2.3606E-04,NA,NA,NA,16.0079
BRCA,a3,WebPage,NO,"gain:cnaPANCAN301 (CDK12,ERBB2,MED24)",255,CP724714,ERBB2,14,34,2.3263,NA,2.2654,4.4362,-2.1707,1.9942,0.9785,1.6132,1.09,2.22,6.7179E-06,NA,NA,NA,1.9596
PANCAN,a41,WebPage,NO,"gain:cnaPANCAN192 (FIP1L1,PDGFRA)",1029,AMG-706,"VEGFR, RET, c-KIT, PDGFR",14,832,0.6931,NA,1.2696,2.7001,-1.4305,1.4846,0.8854,1.5936,0.96,1.62,6.2169E-08,1.0775E-07,2.8017E-01,6.4263E-01,0.0250
PANCAN,a477,WebPage,NO,CHEK2_mut,133,Doxorubicin,DNA intercalating,5,867,0.0237,NA,0.8516,-1.7721,2.6237,2.1481,1.6488,1.5887,1.22,1.59,6.4770E-04,5.3066E-05,5.3782E-01,5.8919E-02,22.4193
PANCAN,a275,WebPage,NO,CHEK2_mut,180,Thapsigargin,sarco-endoplasmic reticulum Ca2+-ATPases,5,852,-0.6694,NA,-0.7382,-3.8923,3.1542,3.0868,1.9831,1.5852,1.02,1.59,1.9046E-04,3.8313E-04,1.6136E-01,6.8678E-02,11.4347
SKCM,a11,WebPage,YES,NRAS_mut,1061,SB590885,BRAF,7,32,1.6094,NA,3.6535,0.8424,2.8110,1.1857,1.8716,1.5806,2.37,1.50,5.4112E-04,NA,NA,NA,23.3513
PANCAN,a345,WebPage,NO,EWSR1-FLI1_fusion,185,OSI-906,IGF1R,17,851,0.9400,NA,-0.1185,2.1238,-2.2423,1.7316,1.4144,1.5780,1.29,1.59,3.3781E-04,1.6719E-14,4.6333E-02,2.5629E-01,16.1665
PANCAN,a196,WebPage,NO,loss:cnaPANCAN72 (),1028,VX-702,p38,5,839,0.6931,NA,1.5684,2.8949,-1.3264,1.6336,0.8455,1.5587,0.81,1.57,8.0403E-05,4.8988E-37,4.6703E-01,9.0930E-01,6.7730
SKCM,a3,WebPage,NO,BRAF_mut,1371,PLX4720 (rescreen),BRAF,41,13,2.3026,NA,1.2356,3.6678,-2.4323,1.5943,1.4490,1.5572,1.53,1.68,1.0028E-05,NA,NA,NA,1.2807
PANCAN,a167,WebPage,NO,loss:cnaPANCAN186 (),332,XMD15-27,"CAMK2B, CLK2, DYRK1A, MAST1, STK39",5,916,2.3263,NA,3.2150,4.5862,-1.3713,1.3951,0.8785,1.5558,0.98,1.56,5.2880E-05,1.0644E-47,1.0583E-03,2.8080E-01,5.2281
PANCAN,a40,WebPage,NO,FLT3_mut,254,AC220,FLT3,11,909,0.0237,NA,0.5345,2.1526,-1.6181,3.6679,0.9809,1.5440,0.44,1.65,5.9063E-08,2.6175E-48,4.1297E-02,9.3973E-01,0.0244
COAD/READ,a16,WebPage,YES,loss:cnaPANCAN120 (),197,Bryostatin 1,PRKC,16,22,-4.8283,NA,-3.2091,-2.1532,-1.0559,0.9286,0.4471,1.5307,1.14,2.36,1.0396E-04,NA,NA,1.2397E-01,11.6786
GBM,a2,WebPage,NO,TP53_mut,1047,Nutlin-3a,MDM2,19,14,2.0794,1.3863,4.3994,2.6616,1.7378,0.5926,1.6115,1.5283,2.93,1.08,1.4118E-04,NA,NA,NA,24.9444
LAML,a25,WebPage,NO,TP53_mut,134,Etoposide,TOP2,13,13,2.7726,NA,2.0083,-0.2722,2.2805,1.7631,1.1726,1.5231,1.29,1.94,7.8310E-04,NA,NA,3.8178E-01,3.8212
PANCAN,a73,WebPage,NO,EWSR1-FLI1_fusion,1017,Olaparib,"PARP1, PARP2",16,831,1.6094,NA,2.0324,3.5641,-1.5317,1.1692,1.0042,1.5205,1.31,1.53,3.0510E-06,5.4432E-21,6.5710E-01,2.2159E-01,0.6835
BRCA,a37,WebPage,YES,"gain:cnaPANCAN272 (PIP5K1A,SETDB1)",1057,NVP-BEZ235,PI3K (Class 1) and MTORC1/2,7,36,-1.3863,0.6931,-1.1624,-2.4263,1.2639,0.9816,0.8051,1.5168,1.29,1.57,6.8865E-04,NA,NA,NA,21.5512
PANCAN,a510,WebPage,NO,HGF_mut,182,Obatoclax Mesylate,"BCL2, BCL2L1, MCL1",5,859,2.7726,NA,1.6752,-0.9180,2.5933,2.8283,1.7096,1.5109,0.92,1.52,7.5465E-04,5.3182E-14,1.0719E-01,2.9732E-02,24.4163
PANCAN,a182,WebPage,NO,EWSR1-FLI1_fusion,1175,AG-014699,"PARP1, PARP2",17,901,1.6094,NA,1.9907,3.4492,-1.4585,1.4167,0.9598,1.5042,1.03,1.52,6.3959E-05,7.7420E-15,6.6629E-01,1.2274E-01,5.7881
BRCA,a33,WebPage,YES,"gain:cnaPANCAN393 (FOXA1,NKX2-1,PSMA6)",184,BMS-754807,IGF1R,7,41,0.9400,NA,3.5369,1.3008,2.2361,0.9116,1.5549,1.5040,2.45,1.44,6.1473E-04,NA,NA,NA,21.5142
PANCAN,a211,WebPage,NO,ASXL1_mut,1021,Axitinib,"PDGFR, KIT, VEGFR",16,828,0.6931,NA,0.1098,1.9970,-1.8871,2.0072,1.2453,1.4943,0.94,1.52,9.4473E-05,2.9887E-21,7.8726E-01,9.7200E-01,7.3617
PANCAN,a216,WebPage,NO,SRGAP1_mut,147,NSC-87877,"PTPN6 (SHP-1), PTPN11 (SHP-2)",6,871,2.7726,NA,3.6137,4.9149,-1.3011,1.2814,0.8720,1.4872,1.02,1.49,1.0351E-04,3.5843E-06,8.1081E-02,5.0518E-01,7.9120
BRCA,a42,WebPage,YES,gain:cnaPANCAN124 (EGFR),1010,Gefitinib,EGFR,7,38,-0.6931,NA,0.2563,1.6106,-1.3542,0.8380,0.9353,1.4683,1.62,1.45,8.9414E-04,NA,NA,NA,24.6507
PANCAN,a241,WebPage,NO,NOTCH1_mut,38,AZD-0530,"SRC, ABL1",10,398,0.6931,NA,0.4912,2.2060,-1.7148,1.8232,1.1525,1.4637,0.94,1.49,1.3941E-04,1.5717E-05,6.7591E-01,6.3990E-01,9.5507
BRCA,a17,WebPage,NO,"gain:cnaPANCAN302 (CLTC,PPM1D)",255,CP724714,ERBB2,9,39,2.3263,NA,2.0770,4.2013,-2.1243,2.4389,1.1406,1.4627,0.87,1.86,2.6188E-04,NA,NA,NA,17.8371
LUAD,a5,WebPage,YES,KRAS_mut,1526,RDEA119 (rescreen),"MAP2K1 (MEK1), MAP2K2 (MEK2)",20,40,1.6094,NA,0.4858,2.0211,-1.5352,1.0677,1.0412,1.4622,1.44,1.47,1.6250E-06,NA,NA,NA,0.2801
BRCA,a7,WebPage,NO,"gain:cnaPANCAN301 (CDK12,ERBB2,MED24)",1032,Afatinib,"ERBB2, EGFR",15,30,-0.6931,NA,-1.1787,1.0251,-2.2038,1.5974,1.4663,1.4593,1.38,1.50,3.5373E-05,NA,NA,NA,5.8511
COAD/READ,a8,WebPage,YES,gain:cnaPANCAN91 (MYC),312,AV-951,VEGFR,6,40,-2.0557,NA,-0.0994,0.7062,-0.8057,0.5899,0.5498,1.4529,1.37,1.47,1.4961E-05,NA,NA,6.6223E-03,3.4739
PANCAN,a306,WebPage,NO,loss:cnaPANCAN2 (STK11),1,Erlotinib,EGFR,7,364,0.6931,NA,0.8402,2.4752,-1.6350,1.6033,1.1180,1.4500,1.02,1.46,2.5915E-04,7.9943E-07,3.4901E-01,1.9658E-01,13.9829
PANCAN,a464,WebPage,NO,IDH1_mut,230,GSK429286A,ROCK2,4,919,2.9957,2.3263,3.0487,4.7593,-1.7107,1.7071,1.1827,1.4439,1.00,1.45,6.0230E-04,3.8005E-54,5.9424E-03,9.0694E-01,21.4319
PANCAN,a249,WebPage,NO,loss:cnaPANCAN101 (),1230,IOX2,EGLN1,7,919,-2.3026,NA,-1.0854,-0.0557,-1.0298,2.3134,0.6909,1.4435,0.45,1.49,1.5437E-04,5.4267E-10,1.0916E-01,4.6566E-01,10.1873
PANCAN,a238,WebPage,NO,MAP3K4_mut,147,NSC-87877,"PTPN6 (SHP-1), PTPN11 (SHP-2)",7,870,2.7726,NA,3.6580,4.9160,-1.2580,0.9254,0.8739,1.4389,1.36,1.44,1.2838E-04,3.6248E-06,8.1211E-02,5.0529E-01,8.9060
PANCAN,a85,WebPage,NO,"gain:cnaPANCAN191 (FIP1L1,PDGFRA)",1029,AMG-706,"VEGFR, RET, c-KIT, PDGFR",13,833,0.6931,NA,1.4018,2.6963,-1.2945,1.6757,0.8860,1.4350,0.77,1.46,5.1985E-06,1.4416E-07,2.8551E-01,6.4437E-01,1.0098
PANCAN,a280,WebPage,NO,DLG1_mut,182,Obatoclax Mesylate,"BCL2, BCL2L1, MCL1",6,858,2.7726,NA,1.5163,-0.9199,2.4363,3.7291,1.6970,1.4199,0.65,1.44,2.0075E-04,4.6516E-14,1.0623E-01,2.9490E-02,11.8325
PANCAN,a82,WebPage,NO,BRAF_mut,29,AZ628,BRAF,29,374,1.3863,NA,-0.5737,1.8351,-2.4089,2.4706,1.6286,1.4161,0.98,1.48,4.5705E-06,1.5363E-21,9.1459E-01,1.4390E-01,0.9203
LAML,a26,WebPage,NO,TP53_mut,179,5-Fluorouracil,DNA antimetabolite,12,13,3.4657,NA,2.3299,0.4615,1.8684,1.5205,1.1134,1.4114,1.23,1.68,8.3505E-04,NA,NA,1.9843E-02,3.9180
SKCM,a10,WebPage,YES,NRAS_mut,1036,PLX4720,BRAF,9,34,2.3026,NA,3.3280,0.9385,2.3896,1.1327,1.8041,1.4105,2.11,1.32,5.2699E-04,NA,NA,NA,23.3513
BRCA,a35,WebPage,NO,gain:cnaPANCAN275 (SDHC),224,AS605240,PI3Kgamma,8,41,2.9957,2.3263,1.6123,3.5938,-1.9814,2.5311,1.0961,1.4093,0.78,1.81,6.6413E-04,NA,NA,NA,21.5142
PANCAN,a33,WebPage,NO,EWSR1-FLI1_fusion,310,YM201636,FYV1,17,902,1.6332,NA,0.5520,2.3100,-1.7580,1.1457,1.2502,1.4082,1.53,1.41,1.7130E-08,2.7362E-37,1.5365E-09,1.5484E-02,0.0086
PANCAN,a12,WebPage,NO,BRAF_mut,1242,(5Z)-7-Oxozeaenol,MAP3K7 (TAK1),79,834,2.3026,NA,-0.8790,0.9920,-1.8710,1.9186,1.2619,1.4058,0.98,1.48,7.3971E-11,7.5042E-47,6.2486E-04,6.0565E-01,0.0001
PANCAN,a55,WebPage,NO,EWSR1-FLI1_fusion,226,GSK1070916,AURKB,15,879,0.9400,2.3263,-1.2862,1.6784,-2.9646,2.6677,2.0988,1.4057,1.11,1.41,1.0875E-06,1.8411E-60,9.4718E-06,3.5578E-01,0.3223
PANCAN,a177,WebPage,NO,EWSR1-FLI1_fusion,304,SB52334,ALK5,17,901,2.9957,NA,2.4951,4.2515,-1.7564,1.3514,1.2490,1.4042,1.30,1.41,6.0374E-05,5.2233E-23,1.2630E-02,5.2571E-01,5.6087
PANCAN,a285,WebPage,NO,HGF_mut,1015,CI-1040,"MAP2K1 (MEK1), MAP2K2 (MEK2)",4,832,2.3026,NA,4.2929,2.2333,2.0596,1.1256,1.4799,1.3928,1.83,1.39,2.0794E-04,3.6098E-38,1.3423E-02,2.6699E-02,12.0465
PANCAN,a499,WebPage,NO,BRCA1_mut,184,BMS-754807,IGF1R,8,860,0.9400,NA,2.8960,0.5752,2.3209,1.1605,1.6704,1.3923,2.00,1.39,7.0780E-04,1.9852E-15,5.5539E-03,1.5637E-01,23.4192
PANCAN,a178,WebPage,NO,KDR_mut,178,BAY 61-3606,SYK,9,860,2.0794,NA,4.2351,2.1596,2.0755,1.3806,1.4960,1.3883,1.50,1.39,6.0468E-05,1.1387E-16,3.2638E-02,3.5413E-03,5.6087
PANCAN,a133,WebPage,NO,XRN1_mut,1050,ZM-447439,AURKB,13,783,1.3863,0.6931,0.5430,2.2516,-1.7086,1.2006,1.2463,1.3717,1.42,1.37,2.7990E-05,2.3992E-12,5.2507E-01,2.7116E-02,3.4747
COAD/READ,a19,WebPage,YES,gain:cnaPANCAN91 (MYC),332,XMD15-27,"CAMK2B, CLK2, DYRK1A, MAST1, STK39",6,40,2.3263,NA,4.2258,5.1111,-0.8853,0.8250,0.6237,1.3627,1.07,1.42,1.2971E-04,NA,NA,3.8841E-02,12.1997
COAD/READ,a25,WebPage,YES,LPHN2_mut,186,Bexarotene,Retinioic acid X family agonist,3,35,2.0794,NA,4.9945,3.6039,1.3906,0.8447,1.0324,1.3595,1.65,1.35,2.5749E-04,NA,NA,8.0221E-05,19.1318
BRCA,a23,WebPage,YES,"gain:cnaPANCAN272 (PIP5K1A,SETDB1)",301,PHA-793887,CDK-pan,10,38,2.3263,NA,1.3765,3.3290,-1.9525,1.8650,1.3192,1.3537,1.05,1.48,4.1200E-04,NA,NA,NA,19.2983
PANCAN,a46,WebPage,NO,BRAF_mut,1498,AZD6244,"MAP2K1 (MEK1), MAP2K2 (MEK2)",79,839,1.3863,NA,-0.3713,1.8367,-2.2081,1.9898,1.5945,1.3531,1.11,1.38,1.5734E-07,6.6989E-55,2.6808E-01,6.0579E-02,0.0565
PANCAN,a70,WebPage,NO,EWSR1-FLI1_fusion,294,MPS-1-IN-1,MPS1,17,900,2.9957,NA,1.9654,3.8019,-1.8364,0.9655,1.3657,1.3506,1.90,1.34,2.8733E-06,9.6284E-43,5.6649E-07,7.0620E-01,0.6777
PANCAN,a408,WebPage,NO,ASXL1_mut,1019,Bosutinib,"SRC, ABL, TEC",16,832,0.6931,NA,-0.0662,1.7822,-1.8484,0.9209,1.3764,1.3496,2.01,1.34,4.9018E-04,1.3496E-27,8.1401E-01,1.1229E-01,19.7907
PANCAN,a1,WebPage,NO,TP53_mut,1047,Nutlin-3a,MDM2,554,292,2.0794,1.3863,4.0582,2.5171,1.5411,0.9454,1.4453,1.3486,1.63,1.07,1.0561E-54,1.9796E-43,6.9798E-01,3.2865E-02,0.0000
SKCM,a6,WebPage,YES,NRAS_mut,1371,PLX4720 (rescreen),BRAF,11,43,2.3026,NA,3.5918,1.3681,2.2237,1.5463,1.6764,1.3459,1.44,1.33,2.1238E-04,NA,NA,NA,16.0079
LUAD,a7,WebPage,YES,KRAS_mut,1498,AZD6244,"MAP2K1 (MEK1), MAP2K2 (MEK2)",20,42,1.3863,NA,0.5587,2.2248,-1.6661,1.2386,1.2473,1.3387,1.35,1.34,6.8893E-06,NA,NA,NA,0.8483
PANCAN,a104,WebPage,NO,BRAF_mut,1526,RDEA119 (rescreen),"MAP2K1 (MEK1), MAP2K2 (MEK2)",75,800,1.6094,NA,-0.2364,1.8807,-2.1171,1.8104,1.5600,1.3376,1.17,1.36,1.5557E-05,4.3786E-62,8.1342E-01,1.6800E-01,2.4698
PANCAN,a410,WebPage,NO,CHEK2_mut,182,Obatoclax Mesylate,"BCL2, BCL2L1, MCL1",5,859,2.7726,NA,1.3613,-0.9162,2.2775,3.0039,1.7108,1.3249,0.76,1.33,4.9216E-04,5.0943E-14,1.0688E-01,2.9654E-02,19.8164
COAD/READ,a17,WebPage,YES,gain:cnaPANCAN91 (MYC),257,NPK76-II-72-1,PLK3,6,40,2.3263,NA,1.8312,3.6559,-1.8247,0.7555,1.4382,1.3244,2.42,1.27,1.0688E-04,NA,NA,1.8653E-02,11.6786
BRCA,a41,WebPage,NO,"gain:cnaPANCAN302 (CLTC,PPM1D)",293,MP470,PDGFR,9,39,2.9957,NA,1.9375,3.8995,-1.9620,2.0282,1.3488,1.3173,0.97,1.45,8.6879E-04,NA,NA,NA,24.5360
PANCAN,a353,WebPage,NO,loss:cnaPANCAN266 (),1133,JNJ-26854165,MDM2,8,907,2.3026,NA,4.0024,2.7109,1.2915,0.6887,0.9870,1.3111,1.88,1.31,3.5552E-04,2.0159E-18,4.2205E-04,4.2331E-01,16.6233
PANCAN,a443,WebPage,NO,HLA-A_mut,1010,Gefitinib,EGFR,13,830,-0.6931,NA,-0.3596,1.0711,-1.4307,1.6494,1.0829,1.3088,0.87,1.32,5.6321E-04,1.2110E-25,9.9949E-01,8.4190E-02,20.9908
PANCAN,a319,WebPage,NO,PBRM1_mut,60,BI-2536,"PLK1, PLK2, PLK3",7,392,-1.3626,NA,0.0914,-1.9788,2.0702,1.4476,1.5864,1.3066,1.43,1.30,2.8344E-04,2.7079E-03,8.3749E-01,6.9223E-01,14.6493
PANCAN,a124,WebPage,NO,KDR_mut,152,CP466722,ATM,9,914,2.7726,NA,4.3572,2.5969,1.7603,1.1305,1.3609,1.2952,1.56,1.29,2.1663E-05,3.2466E-45,1.1904E-02,3.2840E-01,2.8845
SKCM,a9,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",1047,Nutlin-3a,MDM2,30,13,2.0794,1.3863,2.2426,3.6628,-1.4202,1.2091,0.7964,1.2860,1.17,1.78,3.7917E-04,NA,NA,NA,19.9987
BRCA,a15,WebPage,NO,"gain:cnaPANCAN301 (CDK12,ERBB2,MED24)",1003,Camptothecin,TOP1,15,30,-2.3026,NA,-1.3735,-3.1072,1.7337,1.7385,1.1431,1.2694,1.00,1.52,2.3458E-04,NA,NA,NA,17.7870
PANCAN,a382,WebPage,NO,ARFGEF2_mut,1166,QL-VIII-58,"MTOR, ATR",6,490,2.3026,NA,0.6174,-1.1481,1.7655,1.4475,1.3921,1.2677,1.22,1.27,4.0176E-04,3.3351E-10,1.8272E-01,8.7724E-02,17.3646
PANCAN,a371,WebPage,NO,PBRM1_mut,87,GW843682X,PLK1,7,394,-1.3626,NA,-0.2575,-2.5392,2.2817,1.7136,1.8014,1.2675,1.33,1.27,3.8240E-04,1.0338E-03,9.2345E-01,4.7514E-01,16.8632
PANCAN,a296,WebPage,NO,"gain:cnaPANCAN302 (CLTC,PPM1D)",119,Lapatinib,"ERBB2, EGFR",9,388,0.6931,NA,1.1218,2.4879,-1.3661,2.6208,1.0230,1.2660,0.52,1.34,2.2661E-04,7.2299E-11,8.1316E-01,8.4697E-01,12.6401
PANCAN,a236,WebPage,NO,STAG2_mut,86,A-443654,"AKT1, AKT2, AKT3",12,388,0.0237,NA,0.9348,-0.7847,1.7194,1.7896,1.3484,1.2620,0.96,1.28,1.2605E-04,8.4701E-03,7.8882E-01,8.9745E-01,8.8187
PANCAN,a418,WebPage,NO,TBX3_mut,326,GSK690693,AKT,4,915,2.3263,NA,1.3527,3.5689,-2.2162,3.1637,1.7597,1.2548,0.70,1.26,5.1255E-04,1.1886E-49,2.5423E-08,8.1493E-02,20.1262
PANCAN,a342,WebPage,NO,DICER1_mut,272,AR-42,HDAC,6,904,1.6332,NA,1.8643,-0.2847,2.1490,2.5236,1.7107,1.2521,0.85,1.26,3.3428E-04,3.3951E-33,5.2337E-01,6.3461E-01,16.1340
PANCAN,a400,WebPage,NO,loss:cnaPANCAN187 (),1133,JNJ-26854165,MDM2,8,907,2.3026,NA,3.9308,2.7115,1.2193,0.7748,0.9873,1.2368,1.57,1.23,4.5800E-04,2.0772E-18,4.2413E-04,4.2343E-01,18.9047
PANCAN,a429,WebPage,NO,loss:cnaPANCAN114 (CIITA),312,AV-951,VEGFR,9,910,-2.0557,NA,-0.6723,0.2922,-0.9645,2.0255,0.7604,1.2361,0.48,1.27,5.2392E-04,1.2987E-51,2.1392E-02,9.6403E-01,20.1299
PANCAN,a134,WebPage,NO,loss:cnaPANCAN326 (SOX9),306,TG101348,JAK2,10,911,2.3263,NA,4.1812,2.2873,1.8939,1.6107,1.5367,1.2319,1.18,1.23,2.8892E-05,1.1423E-66,1.3274E-12,5.1282E-01,3.5470
BRCA,a36,WebPage,YES,"gain:cnaPANCAN367 (ARFGAP1,GNAS)",1526,RDEA119 (rescreen),"MAP2K1 (MEK1), MAP2K2 (MEK2)",13,30,1.6094,NA,4.0685,2.4595,1.6090,0.8494,1.4664,1.2226,1.89,1.10,6.6889E-04,NA,NA,NA,21.5142
PANCAN,a16,WebPage,NO,"gain:cnaPANCAN301 (CDK12,ERBB2,MED24)",1377,Afatinib (rescreen),"ERBB2, EGFR",49,863,2.3026,NA,1.5068,3.4449,-1.9381,2.2149,1.5529,1.2153,0.88,1.25,2.5363E-10,4.8980E-34,9.3970E-01,3.7351E-01,0.0003
PANCAN,a436,WebPage,NO,MLH3_mut,1013,Nilotinib,ABL,6,794,0.6931,NA,1.0199,2.6624,-1.6425,2.7506,1.3386,1.2148,0.60,1.23,5.3575E-04,5.1161E-37,7.8332E-01,2.1085E-01,20.2882
PANCAN,a217,WebPage,NO,HRAS_mut,1498,AZD6244,"MAP2K1 (MEK1), MAP2K2 (MEK2)",8,910,1.3863,NA,-0.4264,1.6649,-2.0914,1.7793,1.7345,1.2055,1.18,1.21,1.0471E-04,4.0671E-54,2.7516E-01,6.2402E-02,7.9417
PANCAN,a30,WebPage,NO,EWSR1-FLI1_fusion,286,KIN001-236,TIE2,17,902,2.3263,NA,3.0921,4.2757,-1.1836,0.7739,0.9908,1.1987,1.53,1.19,1.1521E-08,4.3303E-68,5.2935E-02,6.0828E-02,0.0063
BRCA,a22,WebPage,YES,"gain:cnaPANCAN367 (ARFGAP1,GNAS)",1268,XAV 939,TNKS1 (tankyrase-1),15,32,1.6094,NA,4.3322,3.3470,0.9852,0.7556,0.8503,1.1986,1.30,1.16,3.9372E-04,NA,NA,NA,19.2983
PANCAN,a125,WebPage,NO,BRAF_mut,1372,Trametinib,"MAP2K1 (MEK1), MAP2K2 (MEK2)",76,817,0.0000,NA,-3.6433,-0.7918,-2.8515,2.5554,2.3634,1.1980,1.12,1.21,2.2053E-05,1.9068E-62,1.8667E-01,2.1822E-01,2.9002
PANCAN,a335,WebPage,NO,XRN1_mut,5,Sunitinib,"PDGFRA, PDGFRB, KDR, KIT, FLT3",8,392,2.0794,NA,0.4718,2.4418,-1.9700,2.6458,1.6210,1.1979,0.74,1.22,3.0391E-04,1.3842E-11,8.6380E-01,1.7273E-01,14.9782
PANCAN,a283,WebPage,NO,ARFGEF2_mut,1050,ZM-447439,AURKB,9,787,1.3863,0.6931,3.7091,2.2067,1.5023,1.1250,1.2556,1.1977,1.34,1.20,2.0723E-04,2.9309E-12,5.2763E-01,2.7497E-02,12.0465
PANCAN,a95,WebPage,NO,BRAF_mut,1015,CI-1040,"MAP2K1 (MEK1), MAP2K2 (MEK2)",70,766,2.3026,NA,0.7113,2.3832,-1.6719,1.5651,1.3967,1.1846,1.07,1.20,8.6833E-06,1.7423E-38,1.2888E-02,2.6136E-02,1.4933
PANCAN,a311,WebPage,NO,KDR_mut,306,TG101348,JAK2,9,912,2.3263,NA,4.1099,2.2901,1.8198,0.8446,1.5442,1.1821,2.15,1.18,2.7173E-04,2.3180E-66,1.5226E-12,5.1383E-01,14.3599
PANCAN,a505,WebPage,NO,loss:cnaPANCAN72 (),1013,Nilotinib,ABL,5,795,0.6931,NA,1.0619,2.6600,-1.5981,0.9977,1.3552,1.1806,1.60,1.18,7.3663E-04,5.5012E-37,7.8356E-01,2.1103E-01,24.0781
LAML,a20,WebPage,NO,SACS_mut,206,Ruxolitinib,"JAK1, JAK2, TYK2",3,23,1.6563,0.0237,0.4268,2.6704,-2.2436,3.8185,1.6264,1.1760,0.59,1.38,5.6197E-04,NA,NA,8.7351E-01,3.3168
PANCAN,a42,WebPage,NO,EWSR1-FLI1_fusion,257,NPK76-II-72-1,PLK3,17,902,2.3263,NA,0.9170,2.8947,-1.9777,1.2254,1.7099,1.1616,1.61,1.16,8.1457E-08,1.5695E-76,4.1268E-06,3.6394E-02,0.0317
PANCAN,a455,WebPage,NO,KDR_mut,194,AUY922,HSP90,9,854,-1.3626,NA,-1.0909,-2.9221,1.8311,2.2770,1.5690,1.1611,0.80,1.17,5.8798E-04,5.5681E-10,3.9076E-03,4.7708E-02,21.3359
PANCAN,a37,WebPage,NO,"gain:cnaPANCAN301 (CDK12,ERBB2,MED24)",1032,Afatinib,"ERBB2, EGFR",46,800,-0.6931,NA,-0.7494,0.9234,-1.6728,2.0377,1.4013,1.1597,0.82,1.19,4.7322E-08,3.0268E-33,5.4825E-01,1.8157E-01,0.0211
PANCAN,a402,WebPage,NO,"gain:cnaPANCAN382 (FLT3,WASF3)",1031,Elesclomol,HSP70,16,830,-1.6094,NA,-0.9942,-3.0529,2.0587,2.0013,1.7749,1.1571,1.03,1.16,4.7179E-04,1.0444E-15,1.6563E-01,4.8242E-01,19.3771
