human	mouse
H0Y916	Q4VBD2
H0Y917	Q8C6G8
H0Y920	D4QGC2
H0Y921	Q7TSV4
H0Y922	Q91VN4
H0Y923	Q9WVE8
H0Y924	Q9D479
H0Y925	F8VQ75
H0Y926	Q8BHY8
H0Y927	Q99KL7
H0Y928	Q6P6J9
H0Y929	D9J302
H0Y931	Q8C8R3
H0Y932	O70551
H0Y933	Q8C8R3
H0Y934	Q5SUV1
H0Y935	A0A140T8W1
H0Y936	A0A0R4J1W7
H0Y938	O55029
H0Y940	Q8C6K9
H0Y941	Q8CFW7
H0Y942	A0A140LI28
H0Y943	Q9DBR4
H0Y944	Q8CE80
H0Y945	Q3TRR0
H0Y946	B9EKS2
H0Y947	A0A140LI28
H0Y948	Q9QZQ1
H0Y949	P22272
H0Y950	P56528
H0Y951	G5E8K5
H0Y952	Q9ET54
H0Y953	Q9CTG6
H0Y954	E9Q8T1
H0Y955	Q8BP48
H0Y956	P23906
H0Y957	Q8R4H9
H0Y958	P80316
H0Y959	E9Q1W7
H0Y960	Q3V086
H0Y961	Q8C1B7
H0Y962	Q91VT4
H0Y963	A0A0R4J0G9
H0Y964	F8VPK0
H0Y965	Q8CFV2
H0Y966	E9Q4Y4
H0Y967	O70293
H0Y968	G3UYX7
H0Y969	Q9CR16
H0Y970	Q9D1J1
H0Y972	G5E8H1
H0Y973	Q8K2G4
H0Y974	Q8K3J5
H0Y975	Q80TZ9
H0Y977	A0A0A6YVW8
H0Y977	A0A0A6YXL2
H0Y977	E0CXI6
H0Y977	E0CYU8
H0Y977	L7N229
H0Y977	P0DMR5
H0Y977	P0DMR6
H0Y977	Q3UT66
H0Y977	Q3UTC4
H0Y977	Q6YCH2
H0Y977	Q6ZWS8
H0Y977	Q717B2
H0Y977	Q717B4
H0Y978	Q6NWV3
H0Y979	A0A140LI28
H0Y981	Q58A65
H0Y982	Q8BIR2
H0Y983	Q9CPY7
H0Y984	A0A0R4J190
H0Y985	Q4VBD2
H0Y986	Q8K387
H0Y987	Q9CYR6
H0Y988	Q9D7V9
H0Y989	Q8C9J3
H0Y990	P61222
H0Y991	Q60847
H0Y992	Q6P926
H0Y993	Q7TNV0
H0Y994	A2A8U2
H0Y995	Q6KAR6
H0Y996	Q9CRC3
H0Y997	Q6P6J9
H0Y998	Q63ZW6
H0Y999	P48967
H0Y9A0	Q9QUJ7
H0Y9A1	Q3UDR8
H0Y9A4	G3X9F6
H0Y9A5	Q3TAQ3
H0Y9A6	Q80T14
H0Y9A7	A0A140LI28
H0Y9A8	Q9CTN4
H0Y9A9	A2RRY8
H0Y9B0	Q99K23
H0Y9B1	P22272
H0Y9B2	G3X9F7
H0Y9B3	Q8BMG0
H0Y9B4	F6U5V1
H0Y9B6	P20060
H0Y9B7	Q6DVA0
H0Y9B9	P70180
H0Y9C0	Q3ULU4
H0Y9C1	Q8VEG6
H0Y9C2	Q6PHZ2
H0Y9C3	E9Q8T1
H0Y9C5	Q8C5X2
H0Y9C6	A0A0R4J0I6
H0Y9C7	Q64191
H0Y9C8	F2Z4A3
H0Y9C9	Q80T14
H0Y9D0	Q14AK4
H0Y9D1	Q3UH93
H0Y9D2	Q6P6M7
H0Y9D3	Q3U2K0
H0Y9D4	G5E8G5
H0Y9D5	A0A0R4J0G9
H0Y9D6	Q8R087
H0Y9D7	P82198
H0Y9D8	Q91VM9
H0Y9D9	E9Q5X2
H0Y9E1	Q6NWV3
H0Y9E2	P15656
H0Y9E3	G3X8V6
H0Y9E4	Q80YV4
H0Y9E5	Q6NWV3
H0Y9E6	Q9QYM8
H0Y9E7	Q80VA5
H0Y9E8	Q80TH2
H0Y9E9	G5E8K5
H0Y9F0	Q8BFZ1
H0Y9F1	E9PV82
H0Y9F2	Q99JT1
H0Y9F4	Q03146
H0Y9F5	Q8CFX3
H0Y9F6	A0A0R4J1N2
H0Y9F7	G5E894
H0Y9F8	Q8C0C4
H0Y9F9	Q9WTR6
H0Y9G1	Q3U2K0
H0Y9G2	Q8K1S4
H0Y9G3	A2A6M5
H0Y9G4	Q99KL7
H0Y9G5	P56695
H0Y9G6	Q99N95
H0Y9G7	Q5S248
H0Y9G8	Q8C1B7
H0Y9G9	B7ZCM8
H0Y9G9	B7ZCM9
H0Y9H0	Q63ZW6
H0Y9H1	P35564
H0Y9H2	Q9QYC0
H0Y9H3	Q8C9D4
H0Y9H4	F2Z4A3
H0Y9H5	Q8BW70
H0Y9H6	Q8CE80
H0Y9H7	Q8C5H8
H0Y9H8	Q9CRC3
H0Y9I0	Q9QZQ1
H0Y9I2	Q9EPR5
H0Y9I3	Q924C1
H0Y9I4	F8VQA4
H0Y9I5	Q8CFX3
H0Y9I6	Q6NWV3
H0Y9I7	P97494
H0Y9I8	Q8CE72
H0Y9I9	Q9Z0Z3
H0Y9J1	Q9EQG9
H0Y9J2	Q6PHZ2
H0Y9J3	A2A7B5
H0Y9J5	Q99JR1
H0Y9J6	Q3U2P1
H0Y9J7	Q3SXA6
H0Y9J8	Q6NXW6
H0Y9J9	Q3U2K0
H0Y9K0	Q9CTG6
H0Y9K1	Q3UPL0
H0Y9K2	E9QPK4
H0Y9K3	F6U5V1
H0Y9K4	Q9CTG6
H0Y9K5	Q80TS3
H0Y9K6	Q8CBH7
H0Y9K7	Q8VIJ6
H0Y9K8	A0A0R4J037
H0Y9K9	Q505G8
H0Y9L0	Q8BP48
H0Y9L1	P46935
H0Y9L2	Q8CI08
H0Y9L3	Q9D8I1
H0Y9L4	Q8BVE8
H0Y9L5	Q9JHI7
H0Y9L6	E9QPI5
H0Y9L7	D3YZK4
H0Y9L8	Q8CD15
H0Y9L9	E9QPI5
H0Y9M0	Q6ZQB6
H0Y9M1	Q80YT5
H0Y9M2	Q505G8
H0Y9M3	P20060
H0Y9M4	A0A0R4J0F6
H0Y9M5	Q9CYZ8
H0Y9M6	Q80TS8
H0Y9M7	G5E8G5
H0Y9M8	E9QPX3
H0Y9M9	O88712
H0Y9N0	Q9QYY9
H0Y9N2	Q8CI19
H0Y9N3	Q8R1K4
H0Y9N4	Q8JZY2
H0Y9N5	O08848
H0Y9N6	Q3TRM8
H0Y9N7	Q6ZPR6
H0Y9N8	Q6P1E7
H0Y9N9	E9Q3Y4
H0Y9P0	P68040
H0Y9P1	Q91Z96
H0Y9P2	A0A0R4IZY3
H0Y9P3	E9Q4Y4
H0Y9P4	A0A0R4J0W3
H0Y9P6	Q9CTN4
H0Y9P7	A6X8Z9
H0Y9P8	G3X8Z6
H0Y9P9	Q9WUP4
H0Y9Q0	A0A0R4J0G9
H0Y9Q1	Q9CPY7
H0Y9Q2	Q6NWV3
H0Y9Q3	E9PVM3
H0Y9Q4	B8JJE0
H0Y9Q5	G5E8G5
H0Y9Q6	Q6IRU5
H0Y9Q7	P35564
H0Y9Q9	A0A0R4J190
H0Y9R2	Q8BGK0
H0Y9R3	Q8C6G8
H0Y9R5	Q3ZT31
H0Y9R6	Q9QXJ4
H0Y9R7	Q9CTN4
H0Y9R8	Q63ZW6
H0Y9R9	Q8BMG0
H0Y9S1	Q9CXE0
H0Y9S2	Q50H33
H0Y9S3	Q3V125
H0Y9S4	E9Q921
H0Y9S5	A0A140LI28
H0Y9S6	Q99KL7
H0Y9S7	Q3UZR5
H0Y9S8	E9PW38
H0Y9S9	Q6ZQB6
H0Y9T0	Q3UCV8
H0Y9T1	Q8VE80
H0Y9T2	A0A140T8W1
H0Y9T3	Q5NCC3
H0Y9T4	A0A0R4J015
H0Y9T5	Q9CYC6
H0Y9T6	Q6VNB8
H0Y9T7	Q6NXW6
H0Y9T8	Q9CXP4
H0Y9T9	Q3UPL0
H0Y9U0	F2Z461
H0Y9U2	Q8VIJ6
H0Y9U3	Q569Z5
H0Y9U4	Q8VE91
H0Y9U5	Q8C7R4
H0Y9U6	Q8BVE8
H0Y9U7	P41216
H0Y9U8	P24860
H0Y9U9	Q9DBR4
H0Y9V0	G1K381
H0Y9V2	P63147
H0Y9V3	Q3UPL0
H0Y9V4	Q9CYZ8
H0Y9V5	B9EKS2
H0Y9V6	Q9CZJ9
H0Y9V7	Q3UZR5
H0Y9V8	P26048
H0Y9W0	E9PUC0
H0Y9W1	P49452
H0Y9W2	Q8R2L5
H0Y9W3	Q80YT5
H0Y9W4	Q9CQY1
H0Y9W5	Q8BGH7
H0Y9W6	Q99JT1
H0Y9W8	Q3U2K0
H0Y9W9	Q9CTN4
H0Y9X0	F8VQ05
H0Y9X1	Q9CR02
H0Y9X2	Q8BK63
H0Y9X3	P12815
H0Y9X4	Q5SUV1
H0Y9X5	Q9EQH2
H0Y9X6	E9QPI5
H0Y9X7	A1E5L0
H0Y9X8	Q3UE37
H0Y9Y0	Q8C2S5
H0Y9Y1	Q64152
H0Y9Y2	E9Q6J5
H0Y9Y3	E9Q1U2
H0Y9Y4	P97351
H0Y9Y5	Q6PFE1
H0Y9Y6	E9PW38
H0Y9Y7	E9Q8T1
H0Y9Y8	Q8BIJ7
H0Y9Y9	Q6NWV3
H0Y9Z0	G5E8I2
H0Y9Z1	Q8CII8
H0Y9Z2	Q924I3
H0Y9Z3	Q3UDP0
H0Y9Z4	Q8BJW7
H0Y9Z5	Q8VEG6
H0Y9Z6	G3UYX7
H0Y9Z7	F8VQ75
H0Y9Z8	E9PWG6
H0Y9Z9	P41216
H0YA00	S4R1Y1
H0YA01	Q60949
H0YA02	Q80YV4
H0YA03	O55226
H0YA04	Q80TH2
H0YA05	Q9ET54
H0YA06	Q91VN6
H0YA07	G3X9H5
H0YA08	P59240
H0YA09	O55203
H0YA10	E9PVM3
H0YA11	Q8VE80
H0YA12	Q61625
H0YA13	A2A935
H0YA14	Q8CG03
H0YA15	P82349
H0YA16	Q6ZWR4
H0YA17	E9Q3Y4
H0YA18	Q99K23
H0YA19	Q8BKV0
H0YA20	Q6P5E8
H0YA21	Q8K387
H0YA22	P36552
H0YA23	D3Z499
H0YA24	Q922V4
H0YA25	Q9CRB0
H0YA26	Q80YV4
H0YA27	Q9Z2V9
H0YA28	Q3UQ44
H0YA29	Q9CQY1
H0YA30	Q8K3V1
H0YA31	Q80YV4
H0YA32	Q62470
H0YA33	Q8C6K9
H0YA34	G3X9F6
H0YA35	Q8C5X2
H0YA36	Q80TS8
H0YA37	P46935
H0YA38	Q62273
H0YA39	A0A0R4J0F6
H0YA41	P16872
H0YA43	A0A0R4J020
H0YA44	Q8VE62
H0YA45	E9Q1W7
H0YA46	A1E960
H0YA47	Q8BIJ7
H0YA48	Q9DCV6
H0YA49	Q62470
H0YA50	Q59J78
H0YA52	Q9CZL5
H0YA53	Q9CQX5
H0YA54	Q059U7
H0YA55	P07724
H0YA56	Q07813
H0YA57	Q924C1
H0YA58	Q3V1Q3
H0YA59	Q499E5
H0YA60	Q91V88
H0YA61	D3Z4I3
H0YA62	P24860
H0YA63	G3X922
H0YA64	Q3UH93
H0YA65	Q8K4Z0
H0YA66	G5E8K5
H0YA67	P16406
H0YA68	O54782
H0YA69	O88676
H0YA70	E9PW38
H0YA71	Q9QYY0
H0YA72	Q62011
H0YA73	E9Q8T1
H0YA74	Q8C0C4
H0YA75	A0A0R4J026
H0YA76	Q8VEG6
H0YA77	Q8CE72
H0YA78	Q9CZJ9
H0YA79	Q8R107
H0YA80	P63147
H0YA81	Q5SUF2
H0YA82	A2AMD0
H0YA82	Q05CL8
H0YA83	P20060
H0YA84	Q8R3B7
H0YA85	Q9CTN4
H0YA86	E9PUQ5
H0YA87	Q9D3X5
H0YA88	A0A0R4J0E3
H0YA89	Q69ZQ2
H0YA90	E9QQ33
H0YA91	Q8CE80
H0YA92	Q9DBR4
H0YA93	F8VQG7
H0YA94	Q8CH77
H0YA95	Q6P5C5
H0YA96	Q60668
H0YA98	Q9QZQ1
H0YA99	H3BL37
H0YAA0	G3UYK7
H0YAA1	P70704
H0YAA2	Q922V4
H0YAA3	Q3UDP0
H0YAA4	Q80U44
H0YAA5	A0A0R4J0W3
H0YAA6	Q9D7U0
H0YAA7	Q9R0H2
H0YAA8	Q920D3
H0YAA9	Q8C8V1
H0YAB0	P48678
H0YAB1	Q80U44
H0YAB2	Q3UH93
H0YAB3	Q3UPL0
H0YAB4	P63328
H0YAB6	P97494
H0YAB7	H3BL37
H0YAB8	P82198
H0YAB9	P82350
H0YAC0	Q8C9J3
H0YAC1	A0A1C7CYU8
H0YAC1	H9H9R5
H0YAC2	G3X9M3
H0YAC3	Q9CRC3
H0YAC4	Q9CZU3
H0YAC5	Q8VCD6
H0YAC6	E9Q3Y4
H0YAC7	O55029
H0YAC8	Q8BIJ7
H0YAC9	P97329
H0YAD0	Q3UJC8
H0YAD1	G3X8V6
H0YAD3	Q6P926
H0YAD4	Q8BXX2
H0YAD5	Q569Z5
H0YAD6	Q5NCC3
H0YAD8	Q6VNB8
H0YAD9	E9QJU7
H0YAE0	Q80X32
H0YAE1	Q99MQ5
H0YAE2	Q3UQN2
H0YAE3	P97379
H0YAE4	G3UVU7
H0YAE5	O88676
H0YAE6	F8VPJ7
H0YAE8	P97440
H0YAE9	Q9CQ01
H0YAF0	G3X907
H0YAF1	A0A0R4J0B6
H0YAF1	Q99P81
H0YAF2	P42703
H0YAF3	A0A0R4J0B6
H0YAF3	Q99P81
H0YAF4	P70704
H0YAF5	Q3UPL0
H0YAF6	Q6PFE1
H0YAF7	Q91YP2
H0YAF8	P68040
H0YAF9	A0A0R4J026
H0YAG0	Q8BHW2
H0YAG1	G3UVU7
H0YAG2	Q8C2S5
H0YAG3	Q8C8R3
H0YAG4	Q3TRM8
H0YAG5	Q8R2L5
H0YAG6	Q6NWV3
H0YAG7	Q8VE80
H0YAG8	P28474
H0YAG9	Q6NWV3
H0YAH0	A0A0A6YY83
H0YAH1	Q61039
H0YAH2	Q3UZR5
H0YAH3	Q80VA0
H0YAH4	Q8R4H9
H0YAH5	G5E8K5
H0YAH6	Q03146
H0YAH7	Q8R3B7
H0YAH8	P82198
H0YAI0	Q66JT7
H0YAI1	Q059U7
H0YAI2	Q8C0C4
H0YAI3	Q8BP48
H0YAI4	Q9CR50
H0YAI5	Q9QZS2
H0YAI6	Q3UDP0
H0YAI7	Q9CTG6
H0YAI8	Q6VH22
H0YAI9	Q9CR47
H0YAJ0	Q8VE80
H0YAJ1	Q9Z2J0
H0YAJ2	B1AUR6
H0YAJ4	P70704
H0YAJ5	Q9DBR4
H0YAJ6	Q8BYY4
H0YAJ7	G3X9F6
H0YAJ8	E9QNQ4
H0YAK0	Q80VA0
H0YAK1	Q8C5Q4
H0YAK2	Q91VM9
H0YAK3	E9Q9Q6
H0YAK4	Q91YP2
H0YAK5	Q8R1K4
H0YAK7	P97454
H0YAK8	Q00915
H0YAK9	Q91V88
H0YAL0	Q6E1M8
H0YAL1	F8VPJ7
H0YAL2	Q3UA06
H0YAL3	P28301
H0YAL5	P09581
H0YAL6	Q64702
H0YAL9	Q3UQ41
H0YAM0	Q00493
H0YAM1	Q8C5Q4
H0YAM3	P97454
H0YAM4	Q7TNH6
H0YAM7	P68040
H0YAM8	Q8R516
H0YAM9	Q3UH93
H0YAN0	Q5SUG4
H0YAN1	E9Q5N9
H0YAN2	Q9DBT4
H0YAN3	Q9D6Y7
H0YAN4	Q6ZQ58
H0YAN5	B1AWM0
H0YAN7	Q9CTY5
H0YAN8	Q8C033
H0YAN9	A0A0R4J0D1
H0YAP0	Q8BJH1
H0YAP1	Q9D115
H0YAP3	Q3TYW3
H0YAP4	Q8K406
H0YAP5	Q9DCV4
H0YAP6	P58022
H0YAP7	Q9CZX0
H0YAP8	B1AU43
H0YAP9	P97927
H0YAQ0	Q91X20
H0YAQ1	Q9R226
H0YAQ2	O35737
H0YAQ3	Q9R226
H0YAQ5	P97927
H0YAQ7	Q2PFD7
H0YAQ8	B2RWF7
H0YAR1	P58022
H0YAR3	Q8R4U6
H0YAR4	Q5SUF2
H0YAR5	E9QNI1
H0YAR6	Q5DU28
H0YAR7	Q9R0L1
H0YAR8	Q00417
H0YAR9	Q80ZW2
H0YAS0	P34152
H0YAS1	Q9DAK4
H0YAS2	Q99NF8
H0YAS3	P16305
H0YAS4	Q9JHN8
H0YAS5	O88978
H0YAS8	Q06890
H0YAS9	Q9CRD2
H0YAT0	A2AJQ3
H0YAT1	Q9D7V1
H0YAT2	Q9CY16
H0YAT5	Q920G8
H0YAT6	Q8R4I1
H0YAT7	S4R1P5
H0YAT8	P62814
H0YAT9	Q9ESL9
H0YAU0	Q9Z2U2
H0YAU1	A2AAY5
H0YAU2	Q9R0L1
H0YAU4	Q5SXA9
H0YAU5	Q91VA0
H0YAU6	Q9R1Z8
H0YAU7	E9Q360
H0YAU8	Q3U0D9
H0YAU9	P27612
H0YAV1	Q6PEE3
H0YAV2	Q9DC16
H0YAV3	Q7TPD1
H0YAV4	V9GX74
H0YAV5	P0CG15
H0YAV6	Q5DU28
H0YAV7	E9Q2H1
H0YAV8	Q8K409
H0YAV9	Q60809
H0YAW0	Q8BLA8
H0YAW1	Q9D1E8
H0YAW2	A2RT67
H0YAW3	Q9CQ62
H0YAW4	P60229
H0YAW5	Q6PFX9
H0YAW7	P34914
H0YAW8	A0A0R4J175
H0YAX0	Q8BQQ1
H0YAX1	Q5SUF2
H0YAX2	Q8CGT2
H0YAX2	Q9JIB6
H0YAX2	Q9QUK4
H0YAX2	Q9QWK5
H0YAX3	Q9D1P0
H0YAX4	Q9D850
H0YAX6	Q0KL01
H0YAX7	E9Q7P1
H0YAX8	Q8VCA5
H0YAX9	Q6ZQ58
H0YAY0	F8VQ95
H0YAY3	A2RT67
H0YAY4	Q8R2R9
H0YAY5	Q8C9A2
H0YAY6	Q5SUF2
H0YAY7	E9Q360
H0YAY8	A0A0R4J1N7
H0YAY9	Q9D850
H0YAZ0	Q3UDW8
H0YAZ1	A0A0R4J0D1
H0YAZ2	Q9QZ11
H0YAZ3	Q9R1Z8
H0YAZ4	Q9JJZ9
H0YAZ5	Q66JV7
H0YAZ7	Q8C8J0
H0YAZ8	G3X9H7
H0YAZ9	Q04735
H0YB00	Q9EPL0
H0YB01	Q6P1H4
H0YB02	P48455
H0YB03	Q9DCV4
H0YB04	P48455
H0YB05	A2AIL4
H0YB06	Q925E7
H0YB07	Q9CWP4
H0YB08	Q5SVR0
H0YB09	Q8BH86
H0YB10	Q3UMK4
H0YB11	Q8BH86
H0YB12	Q9WVC2
H0YB13	O88452
H0YB14	B2RY04
H0YB15	Q5DU28
H0YB16	P34152
H0YB17	B1AU43
H0YB18	E9QLT0
H0YB19	B2RX70
H0YB20	P0C7M9
H0YB22	P62264
H0YB23	Q3UJD6
H0YB24	Q8VDP4
H0YB25	E9PY43
H0YB26	Q8BT60
H0YB27	P26450
H0YB28	Q8BJS8
H0YB29	Q8K409
H0YB30	Q5DU28
H0YB31	Q3ZB57
H0YB32	Q3TCJ8
H0YB33	P34152
H0YB34	P52760
H0YB35	Q6PFQ7
H0YB36	E9Q360
H0YB37	Q91Z38
H0YB38	Q80V26
H0YB39	O35737
H0YB40	Q8R527
H0YB41	Q8BVE3
H0YB42	O08710
H0YB43	Q8BHK3
H0YB44	Q69Z61
H0YB45	Q9R226
H0YB46	A2AIL4
H0YB47	Q02650
H0YB48	E9Q360
H0YB49	E9PUQ9
H0YB51	Q9R1Z8
H0YB52	G5E828
H0YB53	G3X9H7
H0YB54	P26231
H0YB55	B9EJX5
H0YB56	Q80WJ7
H0YB58	Q5SVR0
H0YB59	P35831
H0YB60	Q8K4D3
H0YB61	Q8R2Z3
H0YB62	Q8BH86
H0YB63	Q812F8
H0YB64	P51162
H0YB65	A0A0R4J0I5
H0YB66	H7BX26
H0YB67	Q5HZJ0
H0YB68	E9PZY8
H0YB69	E9QNI1
H0YB70	E9QLT0
H0YB71	O55098
H0YB72	E9QKX5
H0YB73	A0A0A0MQF3
H0YB74	Q9QVP9
H0YB76	Q8C3J5
H0YB78	Q9WVL3
H0YB79	Q9Z2U2
H0YB80	P63101
H0YB81	G5E889
H0YB82	Q9CTY5
H0YB83	Q9DCV4
H0YB84	Q812F8
H0YB87	E9PWE8
H0YB88	Q8CIB9
H0YB89	Q812F8
H0YB91	Q08890
H0YB92	H7BX26
H0YB93	Q8R527
H0YB94	P51557
H0YB95	D3YYI7
H0YB96	Q91VT1
H0YB97	Q920L1
H0YB98	Q80WR1
H0YB99	P34152
H0YBA0	Q8R2R9
H0YBA1	Q9R0L6
H0YBA3	Q6DR99
H0YBA4	Q8BZZ3
H0YBA5	E9PW83
H0YBA6	B1AXH8
H0YBA8	E9Q4K7
H0YBA9	Q6P8Y7
H0YBB0	E9Q360
H0YBB2	B7ZNH7
H0YBB3	F8WGU3
H0YBB4	E9Q2H1
H0YBB5	P46686
H0YBB6	Q61026
H0YBB7	Q9WVJ3
H0YBB8	P26231
H0YBC0	E9PW83
H0YBC1	Q9CQ74
H0YBC2	P26450
H0YBC4	O88978
H0YBC5	O08710
H0YBC6	Q8BZ98
H0YBC7	Q9Z2F7
H0YBC8	Q00417
H0YBC9	Q8BGX7
H0YBD0	Q9Z1T1
H0YBD1	Q5DU28
H0YBD2	E9PZS8
H0YBD5	O08746
H0YBD6	Q5DU28
H0YBD7	O35737
H0YBD9	Q9DCV4
H0YBE0	Q80WJ7
H0YBE1	Q9EPK7
H0YBE2	P13634
H0YBE3	E9PW83
H0YBE4	P46412
H0YBE5	G3UZ78
H0YBE7	F6VBR4
H0YBE8	Q5SXA9
H0YBE9	Q58A65
H0YBF0	Q9CZX5
H0YBF1	A0A0R4J175
H0YBF2	O08746
H0YBF3	A0A0R4J031
H0YBF4	Q5DU28
H0YBF5	G3X9K6
H0YBF6	Q91X20
H0YBF7	Q9QWY8
H0YBF8	Q3TIR1
H0YBG1	Q7TN98
H0YBG2	Q9Z2Y8
H0YBG3	Q6P8Z1
H0YBG4	Q69ZU8
H0YBG5	Q923A2
H0YBG6	P38647
H0YBG7	O35737
H0YBG8	Q9JLN6
H0YBG9	Q9R0L1
H0YBH0	Q80ZQ3
H0YBH1	O70174
H0YBH2	Q8BG98
H0YBH3	Q3U0D9
H0YBH4	Q69ZU8
H0YBH5	A2RT67
H0YBH6	E9Q360
H0YBH7	A0A0R4J0D1
H0YBH8	A0A0R4J0J5
H0YBH9	P11214
H0YBI0	Q7TPQ3
H0YBI1	A2AJQ3
H0YBI4	D9J302
H0YBI6	G3X8P6
H0YBI7	A0A0R4J1W5
H0YBI8	F8WH81
H0YBI9	G5E889
H0YBJ0	Q8K409
H0YBJ1	Q7TS63
H0YBJ2	O08710
H0YBJ4	O08746
H0YBJ5	Q6ZQ58
H0YBJ6	Q3TYW3
H0YBJ7	Q6P1H4
H0YBJ8	Q80WJ7
H0YBJ9	Q9D3N2
H0YBK0	Q61502
H0YBK1	O35737
H0YBK2	Q5F226
H0YBK3	A0A0R4J0J5
H0YBK5	B1ARY8
H0YBK6	A2AJQ3
H0YBK7	Q6QD59
H0YBK9	A2RT67
H0YBL0	Q9R100
H0YBL1	Q924B0
H0YBL3	G3X9H7
H0YBL4	O08710
H0YBL5	O35648
H0YBL6	A2AJQ3
H0YBL9	G3X8Q8
H0YBM0	Q8R2R9
H0YBM1	Q00417
H0YBM2	Q60766
H0YBM2	Q9DCE9
H0YBM2	Q9Z1M2
H0YBM3	O08746
H0YBM4	Q9QWY8
H0YBM5	Q8VCA5
H0YBM6	Q99NF8
H0YBM7	Q6ZQ58
H0YBM8	Q8BJA3
H0YBN0	Q8CHS8
H0YBN1	Q91XQ6
H0YBN2	O08746
H0YBN3	Q9WUH7
H0YBN5	E9PZY8
H0YBN6	Q8C4X2
H0YBN7	P52019
H0YBN9	P62715
H0YBP0	Q3URV1
H0YBP1	P34152
H0YBP2	Q00417
H0YBP3	P16305
H0YBP4	A2A6M5
H0YBP5	P60229
H0YBP7	Q66JV7
H0YBP8	Q9JKP8
H0YBP9	Q9D2M8
H0YBQ0	G3X8P6
H0YBQ1	Q80V86
H0YBQ2	Q9Z238
H0YBQ3	A0A0R4J0J5
H0YBQ5	Q62447
H0YBQ6	O08710
H0YBQ7	Q9DAI6
H0YBQ8	Q9JLN6
H0YBQ9	A2AIL4
H0YBR0	Q3U0M1
H0YBR2	F8WGU3
H0YBR3	Q8R4U6
H0YBR4	G3UWE4
H0YBR4	Q3TG86
H0YBR5	P60229
H0YBR6	Q3UVG3
H0YBR7	O08710
H0YBR8	Q6ZQ58
H0YBR9	A0A0R4J175
H0YBS0	A0A0R4J1N7
H0YBS1	Q80V86
H0YBS2	Q8K4D3
H0YBS3	Q80V26
H0YBS4	Q9D2Y6
H0YBS5	Q58A65
H0YBS6	Q9R0L1
H0YBS7	P16305
H0YBS9	Q8BZZ3
H0YBT0	Q6P8Z1
H0YBT1	Q8CI61
H0YBT2	E9Q9A3
H0YBT3	Q60809
H0YBT4	E9PWE8
H0YBT5	P22005
H0YBT6	E9PY43
H0YBT7	Q9R0L1
H0YBT8	F8VQ95
H0YBT9	A2AIL4
H0YBU1	Q8R3P9
H0YBU2	Q6PFQ7
H0YBU3	E9PUE1
H0YBU4	P59913
H0YBU5	O08746
H0YBU6	F6VBR4
H0YBU7	A0A1B0GSH8
H0YBU7	Q9DBB8
H0YBU8	Q5RL20
H0YBU9	Q9WVB0
H0YBV0	E9Q5A7
H0YBV1	Q8C115
H0YBV2	G3UYX5
H0YBV3	Q3UMK4
H0YBV4	Q80WB5
H0YBV5	O08746
H0YBV6	Q8BGS0
H0YBV7	Q5SUF2
H0YBV8	Q9WVS4
H0YBV9	A2AJQ3
H0YBW0	Q3V086
H0YBW1	Q6ZQ58
H0YBW2	O35737
H0YBW3	E9Q360
H0YBW4	P27612
H0YBW5	Q8K194
H0YBW6	Q69ZU8
H0YBW8	Q61502
H0YBX0	S4R1P5
H0YBX1	Q8K409
H0YBX2	A0A0R4J1E8
H0YBX3	P52760
H0YBX4	Q9JKP8
H0YBX5	Q04735
H0YBX6	Q9D2M8
H0YBX7	Q8BFR6
H0YBX8	Q8C9A2
H0YBX9	A0A0R4J175
H0YBY0	Q8CJ67
H0YBY1	O08710
H0YBY2	P30204
H0YBY3	Q60648
H0YBY4	A0A0R3P9D0
H0YBY5	Q3TCJ8
H0YBY6	Q0VF59
H0YBY7	Q99NF8
H0YBY8	Q9DBT4
H0YBZ0	F8WH81
H0YBZ1	P34152
H0YBZ2	P04441
H0YBZ4	Q99MB2
H0YBZ5	Q8C9A2
H0YBZ6	E9PW83
H0YBZ7	Q8BU88
H0YBZ8	P04441
H0YBZ9	P97801
H0YC00	G5E889
H0YC01	Q3U0D9
H0YC03	Q8R4U6
H0YC04	P62814
H0YC05	Q8CCJ9
H0YC06	Q69Z61
H0YC07	Q4KMM3
H0YC08	Q69Z61
H0YC09	E9Q360
H0YC11	Q812F8
H0YC12	Q80V86
H0YC13	Q812F8
H0YC14	Q9R0L1
H0YC15	P35831
H0YC16	P27612
H0YC17	E9QM75
H0YC18	E9QNI1
H0YC19	P46412
H0YC20	Q2PFD7
H0YC21	Q8BNW6
H0YC22	Q9D1E8
H0YC23	P62715
H0YC24	Q9CZ52
H0YC25	B1AXH8
H0YC26	P48455
H0YC27	Q9DCV4
H0YC28	Q9ESK9
H0YC29	V9GX74
H0YC30	Q9ESK9
H0YC31	Q8BZF2
H0YC32	Q8BP22
H0YC33	Q6ZQ58
H0YC34	Q9DAL0
H0YC35	Q06890
H0YC36	Q04735
H0YC37	B9EJX5
H0YC38	G3UZ78
H0YC39	Q9R0L1
H0YC40	Q61735
H0YC41	E9PZY8
H0YC43	B1AXH8
H0YC44	F8WHQ1
H0YC45	P62814
H0YC46	Q9WVB0
H0YC47	Q8BZX4
H0YC48	Q3U0D9
H0YC49	P70349
H0YC50	E9QJU4
H0YC51	Q7TS63
H0YC52	Q8K4F5
H0YC53	Q9D3N2
H0YC54	Q9CZX0
