9606.ENSP00000300161	P31946
9606.ENSP00000261340	A0A0C4DG81
9606.ENSP00000356840	A0A0C4DG88
9606.ENSP00000205386	A0A0C4DG90
9606.ENSP00000338766	A0A0C4DG93
9606.ENSP00000417492	A0A0C4DG97
9606.ENSP00000373167	A0A0C4DGA4
9606.ENSP00000295897	A0A0C4DGB6
9606.ENSP00000342667	A0A0C4DGD6
9606.ENSP00000264436	A0A0C4DGE1
9606.ENSP00000366121	A0A0C4DGE6
9606.ENSP00000279907	A0A0C4DGH6
9606.ENSP00000310697	A0A0C4DGH9
9606.ENSP00000408598	A0A0C4DGJ1
9606.ENSP00000219660	A0A0C4DGL6
9606.ENSP00000348170	A0A0C4DGL8
9606.ENSP00000365473	A0A0C4DGM6
9606.ENSP00000371715	A0A0C4DGN4
9606.ENSP00000246117	A0A0C4DGP7
9606.ENSP00000273221	A0A0C4DGT3
9606.ENSP00000317300	A0A0C4DGT4
9606.ENSP00000373810	A0A0C4DGU5
9606.ENSP00000322652	A0A0C4DGW2
9606.ENSP00000345029	A0A0C4DGW7
9606.ENSP00000373215	A0A0C4DGY2
9606.ENSP00000356357	A0A0C4DGY4
9606.ENSP00000245919	A1L186
9606.ENSP00000336687	S4R2Y4
9606.ENSP00000306497	Q58F07
9606.ENSP00000381693	S4R393
9606.ENSP00000355089	S4R3V5
9606.ENSP00000456609	J3KQI6
9606.ENSP00000382508	K7EK15
9606.ENSP00000346265	K7EQ59
9606.ENSP00000342374	K7ERG4
9606.ENSP00000306335	K7ES56
9606.ENSP00000341692	V9GYL4
9606.ENSP00000316609	V9GZ11
9606.ENSP00000270142	V9HWC9
9606.ENSP00000354687	A0A059RMY0
9606.ENSP00000379133	S4R3D6
9606.ENSP00000366843	S4R3J6
9606.ENSP00000354961	A0A059RI30
9606.ENSP00000239690	E5RHQ3
9606.ENSP00000243344	H9KV93
9606.ENSP00000244137	V9GY89
9606.ENSP00000263083	B3KQW7
9606.ENSP00000342952	B3KVN7
9606.ENSP00000450832	B4DYX7
9606.ENSP00000347978	Q59FZ7
9606.ENSP00000264451	D6R9M6
9606.ENSP00000265107	D6RIW8
9606.ENSP00000397773	F8WBF4
9606.ENSP00000384900	B0QZ43
9606.ENSP00000369014	D6R972
9606.ENSP00000372224	D6RAR4
9606.ENSP00000426103	D6RAZ0
9606.ENSP00000391942	D6RB24
9606.ENSP00000370224	D6RBB6
9606.ENSP00000422338	D6RBE3
9606.ENSP00000358571	D6RC95
9606.ENSP00000321203	D6RGJ2
9606.ENSP00000282507	D6RHY1
9606.ENSP00000236850	F8W696
9606.ENSP00000258091	F8WAM2
9606.ENSP00000370710	F8WCN1
9606.ENSP00000234040	F8WEB4
9606.ENSP00000392423	J3KQ66
9606.ENSP00000344683	J3KRI2
9606.ENSP00000347251	J3KRJ4
9606.ENSP00000407552	J3KTB1
9606.ENSP00000389913	K7EPF2
9606.ENSP00000345230	K7EPV9
9606.ENSP00000320038	K7EQI6
9606.ENSP00000387266	K7EQR2
9606.ENSP00000338217	K7EQW7
9606.ENSP00000334472	A0A0B5ISY9
9606.ENSP00000304467	K7EKB6
9606.ENSP00000293677	K7EKR9
9606.ENSP00000366886	K7ELI0
9606.ENSP00000299198	V9HWH2
9606.ENSP00000311905	A0A0C4DH07
9606.ENSP00000360299	A0A0C4DH10
9606.ENSP00000262395	A0A0C4DFM9
9606.ENSP00000364476	A0A0C4DFR2
9606.ENSP00000283303	A0A0C4DFV3
9606.ENSP00000376403	A0A0C4DFY5
9606.ENSP00000354574	A0A0C4DGB3
9606.ENSP00000343885	A0A0C4DGB9
9606.ENSP00000417980	A0A0C4DGF8
9606.ENSP00000339398	A0A0C7DW92
9606.ENSP00000263578	B4DXM1
9606.ENSP00000336747	B4DYD7
9606.ENSP00000298910	A2VED2
9606.ENSP00000374443	B7ZMN7
9606.ENSP00000408146	Q95HA4
9606.ENSP00000288071	Q9HBZ9
9606.ENSP00000331258	E5RJD5
9606.ENSP00000355551	H0Y509
9606.ENSP00000308193	H0YCP5
9606.ENSP00000261182	H0YHC3
9606.ENSP00000344655	H0YHH5
9606.ENSP00000415436	H0YID1
9606.ENSP00000324404	F5GWH6
9606.ENSP00000325863	F5H256
9606.ENSP00000379090	A0A0A0MSJ8
9606.ENSP00000434655	B2RN89
9606.ENSP00000222345	B2RWP0
9606.ENSP00000240079	F5GXZ4
9606.ENSP00000279147	F5GZY6
9606.ENSP00000377298	F5H4J1
9606.ENSP00000391592	F5H4Z1
9606.ENSP00000228438	F5H631
9606.ENSP00000282892	F5H872
9606.ENSP00000249016	A6ZJ87
9606.ENSP00000347041	B3KS64
9606.ENSP00000377771	B4E0W3
9606.ENSP00000378254	C9J6V3
9606.ENSP00000363418	C9JF50
9606.ENSP00000359837	C9JUA4
9606.ENSP00000444856	Q5T2B4
9606.ENSP00000355920	Q5T7Q5
9606.ENSP00000324422	C9IZ41
9606.ENSP00000264606	C9J0X4
9606.ENSP00000187397	C9J5R1
9606.ENSP00000362485	C9J9U0
9606.ENSP00000312402	C9JDG6
9606.ENSP00000339795	C9JIJ5
9606.ENSP00000311113	C9JK18
9606.ENSP00000249396	C9JR33
9606.ENSP00000393776	H7BXJ4
9606.ENSP00000331057	A0A024R5Z0
9606.ENSP00000408146	A0A0A7CA46
9606.ENSP00000344106	B7Z3E3
9606.ENSP00000273063	E9PCP1
9606.ENSP00000363822	E9PEG3
9606.ENSP00000325954	E9PEI5
9606.ENSP00000274376	E9PGC0
9606.ENSP00000418960	E9PH68
9606.ENSP00000342070	E9PJ67
9606.ENSP00000377390	E9PK08
9606.ENSP00000302640	E9PLT2
9606.ENSP00000378295	E9PM67
9606.ENSP00000338742	E9PM76
9606.ENSP00000265335	E9PM98
9606.ENSP00000294172	E9PMV7
9606.ENSP00000391944	E9PN56
9606.ENSP00000309576	E9PNC2
9606.ENSP00000365601	E9PP74
9606.ENSP00000431376	E9PPF0
9606.ENSP00000304713	E9PRK0
9606.ENSP00000299498	E9PRM4
9606.ENSP00000398824	E9PS51
9606.ENSP00000344572	E9PSD3
9606.ENSP00000394863	E9PSE5
9606.ENSP00000267436	G3V272
9606.ENSP00000216797	G3V286
9606.ENSP00000407130	G3V369
9606.ENSP00000451560	G3V4F0
9606.ENSP00000329127	G3V4L3
9606.ENSP00000367137	A0A024R013
9606.ENSP00000298396	A0A024R1B1
9606.ENSP00000232508	A0A024R342
9606.ENSP00000366336	A0A024RCM6
9606.ENSP00000408146	A0A0A7CA32
9606.ENSP00000255784	B0QY51
9606.ENSP00000376965	G3V2G2
9606.ENSP00000407130	G3V4E6
9606.ENSP00000412315	G3V4I5
9606.ENSP00000306881	G3V5K1
9606.ENSP00000298687	G3V5L7
9606.ENSP00000354961	G4W2C7
9606.ENSP00000362335	Q5SQT8
9606.ENSP00000369391	X6RLL4
9606.ENSP00000354158	X6RLX0
9606.ENSP00000362441	A0A096LNX6
9606.ENSP00000308165	E7EX47
9606.ENSP00000332455	J3QLL0
9606.ENSP00000337445	J3QQT1
9606.ENSP00000373853	A0PJJ4
9606.ENSP00000379157	E7EQ12
9606.ENSP00000402257	E7EQW7
9606.ENSP00000447378	E7ER45
9606.ENSP00000329482	E7EUW0
9606.ENSP00000348984	H7C1M2
9606.ENSP00000362650	H7C5A3
9606.ENSP00000218224	H7C053
9606.ENSP00000292823	H7C1T3
9606.ENSP00000343273	H7C259
9606.ENSP00000346725	H7C267
9606.ENSP00000388631	H7C281
9606.ENSP00000258398	H7C421
9606.ENSP00000260665	C9JCA9
9606.ENSP00000072644	C9JFB2
9606.ENSP00000343027	C9JL77
9606.ENSP00000302501	C9JU62
9606.ENSP00000276079	C9JYS8
9606.ENSP00000406955	D6R9J6
9606.ENSP00000352738	D6RAC7
9606.ENSP00000361499	D6RAY4
9606.ENSP00000351108	D6RBZ0
9606.ENSP00000340454	D6RC12
9606.ENSP00000349727	D6RC22
9606.ENSP00000362082	D6RDL3
9606.ENSP00000295290	D6REQ4
9606.ENSP00000422554	D6REX0
9606.ENSP00000314311	D6RFF0
9606.ENSP00000268933	D6RFG3
9606.ENSP00000370395	D6RFW1
9606.ENSP00000351100	D6RGJ8
9606.ENSP00000420927	D6RGV8
9606.ENSP00000316596	D6RHF5
9606.ENSP00000358813	D6RIC6
9606.ENSP00000354687	D9MZQ8
9606.ENSP00000233838	F8WB98
9606.ENSP00000368237	F8WD17
9606.ENSP00000372689	F8WF82
9606.ENSP00000323421	G8JLG1
9606.ENSP00000320147	A0A090N8E9
9606.ENSP00000354499	A0A097PZ33
9606.ENSP00000354632	A0A097PZD5
9606.ENSP00000369213	A2A376
9606.ENSP00000026218	B8ZZ29
9606.ENSP00000373363	F8WAT9
9606.ENSP00000384996	F8WDN6
9606.ENSP00000188790	F8WF29
9606.ENSP00000345656	J3QKM9
9606.ENSP00000361383	A6PVM9
9606.ENSP00000397947	B5MDU3
9606.ENSP00000299206	Q5JQP2
9606.ENSP00000361345	Q5JUQ2
9606.ENSP00000357986	Q5RGS4
9606.ENSP00000271688	Q5SZE3
9606.ENSP00000364403	Q5TBN9
9606.ENSP00000363115	Q5TGY6
9606.ENSP00000462023	J3QQT2
9606.ENSP00000225737	J3QR74
9606.ENSP00000327716	A0A096LNT6
9606.ENSP00000466433	A0A096LPB2
9606.ENSP00000399168	A0A0A7C4A3
9606.ENSP00000252034	E7EN65
9606.ENSP00000343629	E7EPN9
9606.ENSP00000388648	E7EPP6
9606.ENSP00000365759	E7EQ30
9606.ENSP00000220751	E7ERW9
9606.ENSP00000365255	E7ESJ3
9606.ENSP00000325817	E7EVJ5
9606.ENSP00000377941	H7C5W8
9606.ENSP00000354687	Q6VIF0
9606.ENSP00000408146	A0A0A7C8T1
9606.ENSP00000294179	H7C3X5
9606.ENSP00000415034	H7C3Y7
9606.ENSP00000344562	B3KSZ9
9606.ENSP00000309792	B4DHR3
9606.ENSP00000394734	B4DN80
9606.ENSP00000351632	C9IZW7
9606.ENSP00000387928	C9J123
9606.ENSP00000308741	C9JK03
9606.ENSP00000370719	C9JXS9
9606.ENSP00000080059	C9JZ79
9606.ENSP00000254029	H7BY83
9606.ENSP00000354961	H9E7M8
9606.ENSP00000216214	B0QY29
9606.ENSP00000372191	B7WNN4
9606.ENSP00000286800	C9IYH8
9606.ENSP00000312778	C9IZR2
9606.ENSP00000326200	C9J2L2
9606.ENSP00000350170	C9JAJ4
9606.ENSP00000265748	C9JJT6
9606.ENSP00000344609	C9JLA2
9606.ENSP00000386738	C9JSW5
9606.ENSP00000295981	C9JSZ3
9606.ENSP00000252725	C9JTT6
9606.ENSP00000311505	C9JXD7
9606.ENSP00000343234	C9K037
9606.ENSP00000330032	C9K0J2
9606.ENSP00000321703	E5RJG6
9606.ENSP00000292303	A0A089H983
9606.ENSP00000366005	A0A0A7C4Z9
9606.ENSP00000365402	A0A0A7C8J0
9606.ENSP00000318264	B8ZZT8
9606.ENSP00000350881	E9PHT3
9606.ENSP00000354689	E9PNE7
9606.ENSP00000216513	G3V2N2
9606.ENSP00000366306	Q7Z783
9606.ENSP00000466298	X6R2W0
9606.ENSP00000346693	A0A024QZV3
9606.ENSP00000247161	A0A024R1A7
9606.ENSP00000354441	A0A024R1S0
9606.ENSP00000351552	A0A024R7M6
9606.ENSP00000308578	A0A024R7Q8
9606.ENSP00000341543	A0A024R8M5
9606.ENSP00000237858	A0A024RAM2
9606.ENSP00000301463	A0A024RAX4
9606.ENSP00000323178	A0A0A0MQW1
9606.ENSP00000251377	E9PDF4
9606.ENSP00000375829	E9PDI4
9606.ENSP00000298838	E9PIZ6
9606.ENSP00000433821	E9PJH4
9606.ENSP00000434995	E9PJM4
9606.ENSP00000391944	E9PL12
9606.ENSP00000394546	E9PMJ0
9606.ENSP00000433352	E9PMT2
9606.ENSP00000312318	E9PN57
9606.ENSP00000253577	E9PNQ5
9606.ENSP00000278200	E9PNR7
9606.ENSP00000254605	E9PPP6
9606.ENSP00000391944	E9PQ49
9606.ENSP00000322276	E9PQ75
9606.ENSP00000303351	E9PQJ2
9606.ENSP00000360473	E9PQY2
9606.ENSP00000354032	E9PRU2
9606.ENSP00000352956	G3V2B4
9606.ENSP00000216416	G3V3B2
9606.ENSP00000347495	G3V4Q0
9606.ENSP00000337353	G3V5B8
9606.ENSP00000347277	G5E9P5
9606.ENSP00000379065	H0YAV4
9606.ENSP00000358730	Q5QNY8
9606.ENSP00000264870	H0Y4W5
9606.ENSP00000398632	H0Y5E4
9606.ENSP00000240123	H0YAT3
9606.ENSP00000338487	H0YC79
9606.ENSP00000263650	H0YCD7
9606.ENSP00000331787	H0YI09
9606.ENSP00000338185	Q8IV92
9606.ENSP00000362360	A0A0A0MSU5
9606.ENSP00000286800	C9JMP6
9606.ENSP00000342322	F5GY59
9606.ENSP00000373873	A0A0A0MSC7
9606.ENSP00000364794	A0A0A0MSX9
9606.ENSP00000404658	A0A0A0MSY9
9606.ENSP00000349087	A0A0A0MTU3
9606.ENSP00000257745	C9JNE1
9606.ENSP00000263773	F5GXL1
9606.ENSP00000360240	F5GXQ5
9606.ENSP00000264644	F5H2D5
9606.ENSP00000402551	F5H3F0
9606.ENSP00000279227	F5H3I6
9606.ENSP00000355206	G9LGD3
9606.ENSP00000378161	U3KPX8
9606.ENSP00000325612	U3KQB4
9606.ENSP00000253108	A8K5K5
9606.ENSP00000225609	A8MTV0
9606.ENSP00000263672	H0YE04
9606.ENSP00000306614	H0YEL5
9606.ENSP00000246957	I3L2D5
9606.ENSP00000251166	I3L351
9606.ENSP00000345412	J3QT54
9606.ENSP00000434364	Q4VAM4
9606.ENSP00000360371	Q5T863
9606.ENSP00000347596	A8KAJ3
9606.ENSP00000373637	A8MXR1
9606.ENSP00000354822	C9J7Z8
9606.ENSP00000292579	F6RA56
9606.ENSP00000352288	H0Y6J7
9606.ENSP00000354490	H0Y7C1
9606.ENSP00000256442	H0YA62
9606.ENSP00000433433	H0YDD5
9606.ENSP00000287169	H0YEF4
9606.ENSP00000216465	H0YJN8
9606.ENSP00000304923	H0YKF6
9606.ENSP00000342169	H0YLZ3
9606.ENSP00000332326	H0YM45
9606.ENSP00000261839	H0YM93
9606.ENSP00000251250	H0YML0
9606.ENSP00000340118	I3L1P1
9606.ENSP00000354961	A0A059RVT1
9606.ENSP00000261600	A0A087WWS1
9606.ENSP00000240185	A0A087WYY0
9606.ENSP00000243878	A0A087X0D0
9606.ENSP00000370883	A0A087X117
9606.ENSP00000406229	D6RCE4
9606.ENSP00000003084	Q20BI4
9606.ENSP00000273920	A0A087WTH0
9606.ENSP00000418910	A0A087WTN3
9606.ENSP00000317404	A0A087WU70
9606.ENSP00000283645	A0A087WVZ8
9606.ENSP00000389841	A0A087WYZ0
9606.ENSP00000349494	A0A087X0A2
9606.ENSP00000297737	E5RGZ7
9606.ENSP00000295033	E5RJW6
9606.ENSP00000408146	A0A0A7C5B0
9606.ENSP00000343819	A0A0A7NV78
9606.ENSP00000379566	A9XAC9
9606.ENSP00000262105	E5RFR3
9606.ENSP00000309504	E5RGL8
9606.ENSP00000221114	E5RGW9
9606.ENSP00000386531	H7C0W5
9606.ENSP00000296870	Q6NZ79
9606.ENSP00000353099	A0A0A7C3E9
9606.ENSP00000408146	A0A0A7C8D2
9606.ENSP00000382034	A0A0A7C980
9606.ENSP00000347244	H7BZD4
9606.ENSP00000245222	A0A075B7A1
9606.ENSP00000358531	A0A087WZC3
9606.ENSP00000341562	F8VR44
9606.ENSP00000262055	F8VTR1
9606.ENSP00000261401	F8VTT6
9606.ENSP00000229195	F8VWH8
9606.ENSP00000257604	F8VWK2
9606.ENSP00000381490	F8VZ60
9606.ENSP00000299767	F8W026
9606.ENSP00000438875	F8W659
9606.ENSP00000354728	A0A059QPU1
9606.ENSP00000035383	A0A075B6E9
9606.ENSP00000354923	A0A075B6G3
9606.ENSP00000351327	A0A075B6Q6
9606.ENSP00000345001	M0QX46
9606.ENSP00000352608	M0R014
9606.ENSP00000406046	M0R2I8
9606.ENSP00000267938	H3BN94
9606.ENSP00000368976	H3BNZ0
9606.ENSP00000380313	H3BR25
9606.ENSP00000369217	H3BSK4
9606.ENSP00000320171	H3BT25
9606.ENSP00000369018	H3BTK9
9606.ENSP00000308895	H3BTQ3
9606.ENSP00000307833	H3BUC1
9606.ENSP00000434364	J3KNC4
9606.ENSP00000390783	J3KNG4
9606.ENSP00000264360	Q14DV7
9606.ENSP00000354687	R9Y5D2
9606.ENSP00000410294	S4R381
9606.ENSP00000340596	S4R3H8
9606.ENSP00000348668	S4R3S5
9606.ENSP00000331871	A0A0A1TJK6
9606.ENSP00000255305	F2Z2X4
9606.ENSP00000272995	J3KQ34
9606.ENSP00000261600	J3KRD7
9606.ENSP00000301659	J3KRG2
9606.ENSP00000344683	J3KS63
9606.ENSP00000446205	J3KSH6
9606.ENSP00000326170	J3KSI3
9606.ENSP00000269321	J3KTF8
9606.ENSP00000253108	K7EL60
9606.ENSP00000311977	K7EPA4
9606.ENSP00000269228	K7EQ23
9606.ENSP00000264649	K7EQW2
9606.ENSP00000311857	K7ER87
9606.ENSP00000159111	K7ES23
9606.ENSP00000262776	K7ES75
9606.ENSP00000299178	Q3S2J4
9606.ENSP00000354687	E5E024
9606.ENSP00000322020	K4DIB8
9606.ENSP00000341483	K7EID7
9606.ENSP00000262139	K7EKC5
9606.ENSP00000321005	K7EL06
9606.ENSP00000380781	K7EMQ5
9606.ENSP00000418960	K7EPC7
9606.ENSP00000245121	K7EQ00
9606.ENSP00000349297	K7EQP4
9606.ENSP00000465676	K7EQX5
9606.ENSP00000376268	K7ERB3
9606.ENSP00000445175	V9HWB9
9606.ENSP00000354003	A0A0C4DFT7
9606.ENSP00000199320	A0A0C4DGB1
9606.ENSP00000318472	A0A0C4DGS4
9606.ENSP00000367991	A6NMH6
9606.ENSP00000336799	B3KPS3
9606.ENSP00000363036	B4DT60
9606.ENSP00000354687	Q4GNU3
9606.ENSP00000316193	Q59F48
9606.ENSP00000384880	E5RI16
9606.ENSP00000354554	A0A097KU10
9606.ENSP00000305069	D6RAZ6
9606.ENSP00000313070	D6RBU4
9606.ENSP00000385432	D6RD69
9606.ENSP00000324956	D6RDU6
9606.ENSP00000302830	D6RDW4
9606.ENSP00000305533	D6REM3
9606.ENSP00000240327	D6RFL7
9606.ENSP00000264771	D6RIZ2
9606.ENSP00000284898	F8W9S8
9606.ENSP00000356348	F8WAV5
9606.ENSP00000393393	F8WBS5
9606.ENSP00000309474	F8WCE3
9606.ENSP00000293441	H9KV90
9606.ENSP00000262415	Q05CV4
9606.ENSP00000348089	A0A096LP03
9606.ENSP00000347251	A0A096LPJ3
9606.ENSP00000354961	B2CB69
9606.ENSP00000353957	B2R956
9606.ENSP00000363779	Q4LE38
9606.ENSP00000359206	Q5T1W7
9606.ENSP00000247668	B1AMX7
9606.ENSP00000354280	B1AN99
9606.ENSP00000367755	B5MC16
9606.ENSP00000244458	F6U236
9606.ENSP00000365131	F6VEM6
9606.ENSP00000299752	J3QLA1
9606.ENSP00000321674	J3QLA8
9606.ENSP00000280200	J3QRQ4
9606.ENSP00000251968	J3QRU6
9606.ENSP00000253401	A0A096LNQ4
9606.ENSP00000362441	A0A096LPG6
9606.ENSP00000457330	A0A0A6YYD2
9606.ENSP00000365402	A0A0A7C6G2
9606.ENSP00000377192	E7EM57
9606.ENSP00000386444	E7ESX4
9606.ENSP00000296122	E7ETD8
9606.ENSP00000351138	H7C474
9606.ENSP00000357836	H7C603
9606.ENSP00000264637	J3QRW5
9606.ENSP00000388107	J3QSA3
9606.ENSP00000383365	E7ENA2
9606.ENSP00000372390	C9JM63
9606.ENSP00000223398	H7C5H8
9606.ENSP00000361699	B4E1E0
9606.ENSP00000342805	C9JDZ2
9606.ENSP00000360803	Q5SXM7
9606.ENSP00000343690	Q6DEN2
9606.ENSP00000350024	Q96FB2
9606.ENSP00000380427	A0A0A6YYG9
9606.ENSP00000384302	C9IZK7
9606.ENSP00000355991	C9J0C0
9606.ENSP00000331385	C9J0Q2
9606.ENSP00000262177	C9J2C4
9606.ENSP00000307183	C9J4X5
9606.ENSP00000310933	C9J6B0
9606.ENSP00000253382	C9J7L5
9606.ENSP00000411932	C9J8F4
9606.ENSP00000288266	C9JAB0
9606.ENSP00000292823	C9JEJ2
9606.ENSP00000234420	C9JH55
9606.ENSP00000355316	C9JIT1
9606.ENSP00000333633	C9JJM0
9606.ENSP00000386845	C9JKK0
9606.ENSP00000286827	C9JMB5
9606.ENSP00000326806	C9JQX9
9606.ENSP00000261454	C9JU29
9606.ENSP00000265441	C9JUI2
9606.ENSP00000368314	C9JUR7
9606.ENSP00000343507	C9JXI5
9606.ENSP00000229447	C9JXJ9
9606.ENSP00000371236	C9JZG2
9606.ENSP00000312634	C9K0F0
9606.ENSP00000382204	H7BXU7
9606.ENSP00000385571	H7BXX9
9606.ENSP00000351209	A0A024QZA8
9606.ENSP00000304004	A0A024R0R3
9606.ENSP00000331643	A0A024R0S7
9606.ENSP00000266254	A0A024R4U6
9606.ENSP00000267996	A0A024R5W6
9606.ENSP00000415151	A0A024R6X2
9606.ENSP00000353444	A0A024RB09
9606.ENSP00000449253	A0A024RBF2
9606.ENSP00000340823	A0A024RDU9
9606.ENSP00000408146	A0A0A7CA96
9606.ENSP00000360577	B7Z7N0
9606.ENSP00000280326	E9PCA1
9606.ENSP00000230882	E9PCN7
9606.ENSP00000231790	E9PF25
9606.ENSP00000417963	E9PFR3
9606.ENSP00000264028	E9PK34
9606.ENSP00000378313	E9PK89
9606.ENSP00000327513	E9PKP4
9606.ENSP00000334458	E9PKS4
9606.ENSP00000294172	E9PLA7
9606.ENSP00000227251	E9PNH7
9606.ENSP00000329411	E9PQ11
9606.ENSP00000255120	E9PQG5
9606.ENSP00000365272	E9PRL2
9606.ENSP00000347495	G3V3P2
9606.ENSP00000261700	G3V4C6
9606.ENSP00000339122	G3V549
9606.ENSP00000381102	G3V5T5
9606.ENSP00000296754	A0A0A7E6P0
9606.ENSP00000264126	H0Y4A4
9606.ENSP00000290246	Q5JVZ8
9606.ENSP00000438685	Q96T98
9606.ENSP00000417281	A0A0A8K9H4
9606.ENSP00000365730	H0Y630
9606.ENSP00000340896	H0YBF6
9606.ENSP00000346402	H0YCR7
9606.ENSP00000320485	H0YCU6
9606.ENSP00000354061	H0YI32
9606.ENSP00000306261	H0YI54
9606.ENSP00000301463	H0YI85
9606.ENSP00000242591	H0YIR4
9606.ENSP00000264709	Q59HC6
9606.ENSP00000372857	E9PHI8
9606.ENSP00000342262	F5H0E3
9606.ENSP00000280704	F5H155
9606.ENSP00000290575	F5H1V0
9606.ENSP00000296882	A0A0A0MRM5
9606.ENSP00000286364	A0A0A0MSJ9
9606.ENSP00000356518	A0A0A0MSN2
9606.ENSP00000296473	A0A0A0MSQ9
9606.ENSP00000302898	A0A0A0MSY3
9606.ENSP00000420213	A0A0A0MT44
9606.ENSP00000345479	A0A0A0MTK3
9606.ENSP00000348822	F5H044
9606.ENSP00000311665	F5H0F7
9606.ENSP00000341737	F5H2U7
9606.ENSP00000265872	F5H3I8
9606.ENSP00000298223	F5H4Z6
9606.ENSP00000228918	F5H627
9606.ENSP00000380544	F5H890
9606.ENSP00000246535	U3KQL1
9606.ENSP00000377717	C9J480
9606.ENSP00000355046	X2C0Y7
9606.ENSP00000289316	A8K9J7
9606.ENSP00000225729	A8MZF9
9606.ENSP00000345393	B0QY71
9606.ENSP00000273075	E3W974
9606.ENSP00000276533	E5RFF9
9606.ENSP00000421848	E5RIJ3
9606.ENSP00000218894	F6S7C4
9606.ENSP00000332204	H0YLN3
9606.ENSP00000373684	I3L0D0
9606.ENSP00000385903	I3L1L7
9606.ENSP00000385903	I3L205
9606.ENSP00000378332	I3L209
9606.ENSP00000305442	I3L2R8
9606.ENSP00000460850	I3L455
9606.ENSP00000460823	I3L4I4
9606.ENSP00000334003	J3QTA5
9606.ENSP00000358062	Q96QW7
9606.ENSP00000271643	A0A087WTI5
9606.ENSP00000358265	A0A087WYQ8
9606.ENSP00000382804	B5MCN9
9606.ENSP00000378699	E5RIU6
9606.ENSP00000361949	H0Y6X6
9606.ENSP00000351664	H0Y6Z4
9606.ENSP00000254900	H0Y8F9
9606.ENSP00000333376	H0Y8Q0
9606.ENSP00000328524	H0YDS8
9606.ENSP00000321691	H0YE25
9606.ENSP00000380352	H0YE64
9606.ENSP00000380024	H0YEH7
9606.ENSP00000316032	H0YEN4
9606.ENSP00000263577	H0YEX4
9606.ENSP00000318861	H0YEX5
9606.ENSP00000376148	H0YGQ5
9606.ENSP00000392859	H0YK71
9606.ENSP00000260408	H0YNC5
9606.ENSP00000373952	H3BQU6
9606.ENSP00000354687	H9PIG5
9606.ENSP00000362656	R4GNH1
9606.ENSP00000435300	A0A087WSW8
9606.ENSP00000298902	A0A087WUJ8
9606.ENSP00000260257	A0A087WV58
9606.ENSP00000297142	A0A087WVG7
9606.ENSP00000268379	A0A087WVZ4
9606.ENSP00000322570	A0A087WW42
9606.ENSP00000358262	A0A087WWW4
9606.ENSP00000261658	A0A087WXR3
9606.ENSP00000219207	A0A087WYE0
9606.ENSP00000360031	A0A087WYW2
9606.ENSP00000390500	A0A087WZ06
9606.ENSP00000353769	A0A087X1M8
9606.ENSP00000333769	A0A087X2B5
9606.ENSP00000354961	A0A097PWY9
9606.ENSP00000354687	A0A098CK12
9606.ENSP00000450560	V9GZ32
9606.ENSP00000240986	A0A097IW98
9606.ENSP00000375767	E5RGG3
9606.ENSP00000356954	Q6FHL8
9606.ENSP00000366005	A0A0A7C6N4
9606.ENSP00000230538	E5RFD7
9606.ENSP00000261797	E5RG58
9606.ENSP00000222145	A0A087WVG2
9606.ENSP00000366005	A0A0A7C406
9606.ENSP00000382034	A0A0A7C6E9
9606.ENSP00000382034	A0A0A7C6F5
9606.ENSP00000390651	F8VR40
9606.ENSP00000403397	F8VX48
9606.ENSP00000311405	F8VZJ5
9606.ENSP00000276072	H7BY98
9606.ENSP00000366604	H7BZT1
9606.ENSP00000264501	H7C0G8
9606.ENSP00000265563	H7C1L0
9606.ENSP00000371475	H7C3N7
9606.ENSP00000257904	F8VTV8
9606.ENSP00000257904	F8VYY1
9606.ENSP00000438125	F8VZZ6
9606.ENSP00000262030	F8W0P7
9606.ENSP00000267082	F8W186
9606.ENSP00000342056	F8W642
9606.ENSP00000360626	A0A075B6P6
9606.ENSP00000310878	A0A075B756
9606.ENSP00000252771	M0QYA9
9606.ENSP00000221283	M0R118
9606.ENSP00000297988	B7Z1W7
9606.ENSP00000352408	M0QYV1
9606.ENSP00000377969	M0R0R9
9606.ENSP00000333547	M0R377
9606.ENSP00000307041	F5GY04
9606.ENSP00000263702	H3BM30
9606.ENSP00000457386	H3BS66
9606.ENSP00000335808	H3BSF0
9606.ENSP00000249636	H3BSI8
9606.ENSP00000369018	H3BSP5
9606.ENSP00000007264	H3BVD0
9606.ENSP00000425809	J3KN95
9606.ENSP00000354961	A6ZHN9
9606.ENSP00000371553	S4R323
9606.ENSP00000301891	A6NCG2
9606.ENSP00000312244	A6NLU8
9606.ENSP00000301175	S4R3D8
9606.ENSP00000354415	S4R3W3
9606.ENSP00000301031	J3KRC8
9606.ENSP00000254942	J3KSZ6
9606.ENSP00000262173	K7EPP5
9606.ENSP00000355082	Q5HYG2
9606.ENSP00000352976	J3KRD0
9606.ENSP00000250937	K7EIV2
9606.ENSP00000466298	K7EJ05
9606.ENSP00000325612	K7EKX6
9606.ENSP00000322887	K7ELV6
9606.ENSP00000355124	K7EMS3
9606.ENSP00000395653	K7EPJ7
9606.ENSP00000306105	K7EQI2
9606.ENSP00000303696	K7ERB8
9606.ENSP00000247026	K7ERM9
9606.ENSP00000318697	K7ES63
9606.ENSP00000464814	K7ESK6
9606.ENSP00000419425	V9HWF5
